GEOID,hh_income,house_value
36005040701,45363,
36005040702,33750,446300
36005040800,34341,616800
36005040900,60278,228100
36005041100,38452,
36005041300,60646,276000
36005041400,61250,467400
36005041500,44707,234800
36005041800,67986,398900
36005041900,44444,
36005042000,31558,492900
36005042100,48943,
36005042200,64181,495500
36005042300,48897,468200
36005042400,77896,457000
36005042500,32421,
36005042600,82402,552000
36005042800,89762,515000
36005042901,38833,789800
36005042902,42331,544000
36005043000,59500,552500
36005043101,39681,
36005043102,32759,161900
36005043400,101875,497100
36005043501,27391,
36005043502,,
36005043503,,
36005043600,73550,442100
36005044200,42009,401000
36005044400,96094,494700
36005044800,101667,504100
36005044901,90000,519800
36005044902,98542,589000
36005045101,54986,504100
36005045102,85461,253200
36005045600,104190,482400
36005045800,28850,
36005046000,38937,393800
36005046203,43106,
36005046204,72088,31000
36005046205,49219,36600
36005046206,37343,
36005046207,56157,26900
36005046208,78339,428200
36005046209,42121,200300
36005048401,87870,578700
36005048402,,
36005050400,,
36005051601,118972,535000
36005051602,,
36047000100,134738,754500
36047000200,58882,852300
36047000301,179936,1295000
36047000501,141354,1188500
36047000502,155600,739900
36047000700,186422,2000001
36047000900,198590,943500
36047001100,154167,1507600
36047001300,125673,594500
36047001501,86172,834900
36047001502,122159,1316900
36047001801,,
36047001802,,
36047001803,,
36047001804,,
36047002000,65313,866700
36047002100,250001,1695100
36047002200,38309,
36047002300,21342,
36047002901,24600,
36047003000,99511,852200
36047003101,151300,656300
36047003102,,
36047003300,126101,827500
36047003400,88897,783900
36047003500,132528,1664800
36047003600,77536,415500
36047003700,144732,1261400
36047003800,132865,935300
36047003900,126429,1408300
36047004100,195750,2000001
36047004300,136226,1258900
36047004400,128024,1218400
36047004500,152157,1245500
36047004600,122813,1273100
36047004700,122969,1348200
36047004900,157431,2000001
36047005000,125958,1040100
36047005100,155991,1078300
36047005201,59400,1087900
36047005202,103750,514600
36047005301,125357,1482100
36047005302,119205,
36047005303,,
36047005400,74874,689400
36047005601,67443,362200
36047005602,77348,561400
36047005800,67656,893100
36047005900,86167,1407600
36047006000,85352,1072300
36047006200,68722,881100
36047006300,156397,1014300
36047006400,93938,1026400
36047006500,173087,1121500
36047006600,75609,833300
36047006700,193750,2000001
36047006800,65964,984400
36047006901,128411,1668600
36047006902,210000,1190500
36047007000,78565,251600
36047007100,42526,
36047007200,46094,1545500
36047007400,65750,697500
36047007500,139911,2000001
36047007600,59583,854900
36047007700,175469,1676900
36047007800,56435,969400
36047008000,66768,735700
36047008200,42679,845200
36047008400,71546,877400
36047008500,16206,
36047008600,,
36047008800,70241,611100
36047009001,63631,839300
36047009002,53712,1175000
36047009201,70750,635200
36047009202,48571,691000
36047009401,40978,1080600
36047009402,63344,585500
36047009600,63457,842700
36047009800,55284,1007400
36047010000,53500,916700
36047010100,92015,1007900
36047010200,59188,930700
36047010401,57243,
36047010402,30881,1023400
36047010601,39306,668000
36047010602,58786,1038400
36047010801,58750,1066300
36047010802,49750,1100000
36047011000,60083,976700
36047011200,45833,779800
36047011400,53148,1041700
36047011600,42518,952400
36047011700,100167,1401800
36047011800,58571,979800
36047011901,151875,2000001
36047011902,,
36047012000,63297,872000
36047012100,110461,1664500
36047012200,50889,1125000
36047012600,55625,1088300
36047012700,57829,1846800
36047012801,55607,856600
36047012901,200762,1120300
36047012902,133250,2000001
36047013000,81160,910000
36047013100,139028,1056800
36047013200,86490,1091500
36047013300,205556,2000001
36047013400,97351,955100
36047013500,190781,1464600
36047013600,121125,959900
36047013700,139821,1625000
36047013800,79482,1068000
36047013900,151643,1713000
36047014000,53839,949500
36047014101,114722,1491100
36047014102,141025,2000001
36047014200,62847,432400
36047014300,131875,1098400
36047014500,106667,913600
36047014700,109602,1174100
36047014800,85625,927300
36047014901,144032,982100
36047014902,134817,1180400
36047015000,72708,884500
36047015100,190000,1609400
36047015200,76875,885200
