,GISJOIN,COUNTY,Population,Population_density,Hispanic,White,Black,Native,Asian,Pacific
286,G36000500001000,Bronx County,0,,0,0,0,0,0,0
287,G36000500001001,Bronx County,3772,0.0022489729968221033,1259,260,2172,6,59,0
288,G36000500002000,Bronx County,0,,0,0,0,0,0,0
289,G36000500002001,Bronx County,1330,0.014941637738307888,950,31,272,3,22,0
290,G36000500002002,Bronx County,2057,0.010523030960322494,1330,59,496,12,86,0
291,G36000500002003,Bronx County,1392,0.00826883208687026,893,62,243,5,94,0
292,G36000500004000,Bronx County,0,,0,0,0,0,0,0
293,G36000500004001,Bronx County,1047,0.01665235232369501,761,28,142,2,52,2
294,G36000500004002,Bronx County,1433,0.004358471341454142,1045,59,214,2,68,0
295,G36000500004003,Bronx County,3095,0.010495937275329291,1736,142,1040,2,76,4
296,G36000500004004,Bronx County,697,0.008282434584214654,430,9,196,3,34,0
297,G36000500016001,Bronx County,2455,0.031588157336043955,1298,27,1059,2,12,0
298,G36000500016002,Bronx County,1010,0.013381914541238821,754,36,131,9,32,0
299,G36000500016003,Bronx County,745,0.032430785303848166,437,5,290,5,1,0
300,G36000500016004,Bronx County,1585,0.0051308944589577,990,53,404,2,77,1
301,G36000500019011,Bronx County,2292,0.011180106045159434,1089,250,803,9,39,0
302,G36000500019021,Bronx County,1613,0.003433807140530633,854,165,524,3,13,2
303,G36000500019031,Bronx County,0,0.0,0,0,0,0,0,0
304,G36000500019032,Bronx County,2,2.684149426598579e-06,2,0,0,0,0,0
305,G36000500019040,Bronx County,0,,0,0,0,0,0,0
306,G36000500019041,Bronx County,0,0.0,0,0,0,0,0,0
307,G36000500019042,Bronx County,0,0.0,0,0,0,0,0,0
308,G36000500020011,Bronx County,2322,0.019691149159182842,1449,30,781,3,12,0
309,G36000500020012,Bronx County,1961,0.0314131932207734,1148,26,724,7,8,5
310,G36000500020013,Bronx County,724,0.03800325442234003,426,12,250,1,1,0
311,G36000500020021,Bronx County,1465,0.019287736159568164,933,36,384,7,27,0
312,G36000500020022,Bronx County,2011,0.026470278523666613,1512,12,406,3,16,0
313,G36000500020023,Bronx County,1108,0.0209194751250826,613,18,379,6,35,0
314,G36000500023001,Bronx County,2690,0.05181946023000905,1661,44,908,17,3,0
315,G36000500023002,Bronx County,452,0.023175921653079013,250,4,174,0,2,0
316,G36000500023003,Bronx County,1600,0.04814781378833018,1134,19,391,9,14,0
317,G36000500024000,Bronx County,0,,0,0,0,0,0,0
318,G36000500024001,Bronx County,6,8.677479770625285e-06,3,1,0,0,0,0
319,G36000500025001,Bronx County,1071,0.049325288997374844,893,35,111,1,20,0
320,G36000500025002,Bronx County,1462,0.055257389069468595,969,4,446,1,6,0
321,G36000500025003,Bronx County,1064,0.04545260369943184,842,15,191,1,3,0
322,G36000500025004,Bronx County,964,0.04434834613792152,741,10,199,0,4,0
323,G36000500025005,Bronx County,881,0.025779078273591806,690,41,101,2,20,0
324,G36000500027011,Bronx County,1181,0.03084759044012015,738,7,416,2,6,0
325,G36000500027012,Bronx County,1899,0.043857825815838705,1325,28,484,4,22,0
326,G36000500027021,Bronx County,1453,0.026978350477180734,846,44,521,5,7,3
327,G36000500027022,Bronx County,963,0.028544328185671517,660,13,255,1,5,0
328,G36000500027023,Bronx County,1689,0.03655448544529813,1208,32,366,9,33,1
329,G36000500027024,Bronx County,890,0.041087669082683166,604,5,256,6,10,0
330,G36000500028001,Bronx County,1433,0.005470948234063429,587,52,727,5,8,0
331,G36000500028002,Bronx County,1894,0.02479998952481963,422,15,1407,0,3,0
332,G36000500028003,Bronx County,1124,0.029252550489277534,244,9,826,0,5,0
333,G36000500028004,Bronx County,1402,0.03702725544052398,394,13,929,2,22,0
334,G36000500031001,Bronx County,2964,0.019159292321415874,1780,35,1014,7,58,0
335,G36000500033001,Bronx County,840,0.010725640665500465,508,23,266,1,8,2
336,G36000500033002,Bronx County,1325,0.03811743045366934,803,15,468,3,5,0
337,G36000500033003,Bronx County,1524,0.03877172004986389,1142,17,332,0,3,0
338,G36000500035001,Bronx County,911,0.010827192773948181,677,22,191,0,2,0
339,G36000500035002,Bronx County,1502,0.08514256561419421,954,17,500,0,11,0
340,G36000500035003,Bronx County,1313,0.03264220365950676,961,83,233,1,12,0
341,G36000500037001,Bronx County,340,0.002048525965066607,194,5,123,1,0,0
342,G36000500038001,Bronx County,1683,0.02654699749199489,1082,18,475,9,49,0
343,G36000500039001,Bronx County,1253,0.029349073618626004,1064,35,129,0,9,0
344,G36000500039002,Bronx County,1615,0.03043207899150163,1280,65,224,0,12,0
345,G36000500039003,Bronx County,993,0.027128182712271885,754,82,129,4,11,0
346,G36000500039004,Bronx County,1034,0.0387236911092802,800,27,185,0,0,0
347,G36000500039005,Bronx County,1450,0.02537538063070946,1209,40,156,1,5,2
348,G36000500040011,Bronx County,1739,0.014121564009907021,740,125,220,8,566,0
349,G36000500041001,Bronx County,1678,0.035338963418486614,1249,13,389,0,7,0
350,G36000500041002,Bronx County,1720,0.021971284042716265,1271,63,338,0,7,0
351,G36000500041003,Bronx County,123,0.01480857211654226,70,2,36,0,5,0
352,G36000500041004,Bronx County,2625,0.05181705126433605,1493,16,1056,1,16,0
353,G36000500042001,Bronx County,753,0.016055779440926246,523,18,169,0,10,0
354,G36000500042002,Bronx County,2272,0.030697309932038966,1474,10,765,3,3,0
355,G36000500042003,Bronx County,1514,0.01636190723209268,827,26,588,1,29,0
356,G36000500042004,Bronx County,746,0.018779106356198866,286,4,435,1,0,0
357,G36000500042005,Bronx County,940,0.011035843009263064,508,25,373,6,16,0
358,G36000500042006,Bronx County,0,0.0,0,0,0,0,0,0
359,G36000500042007,Bronx County,976,0.029182239497682762,695,7,251,0,5,0
360,G36000500043001,Bronx County,1155,0.024769992922859165,858,58,221,0,5,0
361,G36000500043002,Bronx County,2411,0.02364096328835896,1647,44,652,1,23,0
362,G36000500043003,Bronx County,1173,0.030319478908188587,848,16,277,1,7,0
363,G36000500043004,Bronx County,1144,0.03003097600672022,821,12,259,3,8,0
364,G36000500044001,Bronx County,1286,0.02029607651273634,815,15,415,5,17,0
365,G36000500044002,Bronx County,643,0.028947013010399317,431,8,175,4,1,0
366,G36000500044003,Bronx County,1731,0.016352403264812576,997,54,489,12,150,0
367,G36000500044004,Bronx County,982,0.013243961320080381,566,11,358,3,12,1
368,G36000500046001,Bronx County,1976,0.01460037387597071,1187,53,673,5,4,0
369,G36000500048001,Bronx County,1949,0.029886220750145673,1598,21,275,2,8,0
370,G36000500048002,Bronx County,2235,0.026104323857132846,1665,43,371,6,59,0
371,G36000500050011,Bronx County,1226,0.03142622782733518,885,27,237,4,46,1
372,G36000500050012,Bronx County,1498,0.07639738882088944,1165,9,295,1,13,0
373,G36000500050013,Bronx County,1168,0.059443228663036286,802,29,277,6,17,0
374,G36000500050014,Bronx County,1068,0.054434250764525995,611,16,382,2,19,4
375,G36000500050021,Bronx County,2606,0.05707527541120042,2077,42,362,3,35,8
376,G36000500050022,Bronx County,1266,0.05389298029032395,999,21,210,0,19,0
377,G36000500050023,Bronx County,1249,0.05605169860431719,946,15,162,7,56,0
378,G36000500050024,Bronx County,1397,0.062174551604432776,951,26,317,2,29,1
379,G36000500051001,Bronx County,374,0.0013539833901716734,188,50,112,2,5,1
380,G36000500051002,Bronx County,3664,0.022037109433735304,2221,84,1233,1,36,1
381,G36000500051003,Bronx County,2421,0.03562494481885871,1554,29,786,2,14,0
382,G36000500052001,Bronx County,825,0.005195508561568351,510,8,243,4,26,0
383,G36000500052002,Bronx County,1305,0.05460708009038413,973,12,300,0,8,0
384,G36000500053001,Bronx County,2162,0.058489340980413376,943,28,1076,9,7,0
385,G36000500053002,Bronx County,2209,0.06296137950691179,1095,10,1016,11,5,2
386,G36000500054001,Bronx County,1411,0.030242626886145405,1014,23,141,1,155,1
387,G36000500054002,Bronx County,2860,0.040818656695116036,1892,31,636,0,142,0
388,G36000500054003,Bronx County,1064,0.018441806049051043,797,18,143,0,43,0
389,G36000500054004,Bronx County,1469,0.06647359609032083,1047,9,362,1,30,1
390,G36000500056001,Bronx County,946,0.01582230845138738,679,18,212,9,1,1
391,G36000500056002,Bronx County,823,0.040044764499805374,636,4,110,6,26,0
392,G36000500056003,Bronx County,1094,0.019589234873851773,643,8,296,9,35,0
393,G36000500059021,Bronx County,897,0.04055703757290772,532,85,227,1,16,0
394,G36000500059022,Bronx County,1680,0.03483309143686502,1109,139,365,2,21,0
395,G36000500060001,Bronx County,1259,0.013023958290230479,1010,16,196,5,11,0
396,G36000500060002,Bronx County,3,1.2509329875198585e-05,3,0,0,0,0,0
397,G36000500061001,Bronx County,31,0.0006350897320331066,18,2,5,0,3,0
398,G36000500061002,Bronx County,2188,0.0893024774499,447,17,1637,1,13,0
399,G36000500061003,Bronx County,1158,0.059823319729296894,204,9,930,0,8,0
400,G36000500061004,Bronx County,67,0.0004463244845618359,39,5,8,0,0,0
401,G36000500062001,Bronx County,1375,0.01913096712256341,818,29,341,5,75,0
402,G36000500062002,Bronx County,1528,0.0440981240981241,993,22,465,4,4,0
403,G36000500062003,Bronx County,1898,0.05252379898162497,1232,28,583,10,11,0
404,G36000500062004,Bronx County,1296,0.059947268606318514,1038,9,220,4,7,1
405,G36000500062005,Bronx County,672,0.022606472448361704,374,14,251,0,20,0
406,G36000500063011,Bronx County,905,0.019360359396726923,615,45,197,0,17,0
407,G36000500063012,Bronx County,1166,0.06518700732375468,650,115,282,0,94,0
408,G36000500063013,Bronx County,1114,0.03279653781611564,888,26,163,0,13,0
409,G36000500063014,Bronx County,1976,0.016303495845743848,1422,79,405,0,35,2
410,G36000500063015,Bronx County,701,0.003465339192936838,377,19,254,1,9,1
411,G36000500063016,Bronx County,705,0.0019579145571641623,340,39,278,4,23,0
412,G36000500063021,Bronx County,19,7.226093041652722e-05,15,0,4,0,0,0
413,G36000500064001,Bronx County,1840,0.023475675882570587,981,34,527,12,162,3
414,G36000500064002,Bronx County,746,0.037385987771875316,397,25,238,2,50,0
415,G36000500064003,Bronx County,591,0.019711827096257753,302,20,182,0,33,0
416,G36000500064004,Bronx County,1009,0.025958322613841008,547,27,278,4,67,0
417,G36000500065001,Bronx County,1237,0.01095145768594017,854,95,210,6,13,1
418,G36000500065002,Bronx County,3435,0.05291209045117762,2021,59,1261,5,25,0
419,G36000500065003,Bronx County,853,0.03383443734877633,688,37,82,5,22,0
420,G36000500065004,Bronx County,726,0.012362076011442583,482,34,151,5,9,1
421,G36000500067001,Bronx County,1180,0.023077524837675036,921,28,201,1,3,0
422,G36000500067002,Bronx County,1046,0.017516243552816665,832,16,181,1,2,1
423,G36000500067003,Bronx County,1024,0.04142227256178957,669,3,321,1,10,0
424,G36000500067004,Bronx County,1762,0.044968481229104455,1160,27,534,4,5,2
425,G36000500067005,Bronx County,783,0.058315334773218146,587,13,158,0,13,0
426,G36000500067006,Bronx County,1098,0.04527835051546392,726,30,292,0,19,0
427,G36000500068001,Bronx County,1331,0.03307243135793266,721,29,278,9,231,0
428,G36000500068002,Bronx County,718,0.012771710128428617,403,18,214,5,58,1
429,G36000500068003,Bronx County,1370,0.023656990899829047,775,13,322,4,108,0
430,G36000500069001,Bronx County,2752,0.03617387646726343,1600,64,985,8,47,1
431,G36000500069002,Bronx County,1896,0.026470095493382476,1126,49,660,1,10,0
432,G36000500069003,Bronx County,1340,0.07262872628726287,856,6,434,1,14,0
433,G36000500069004,Bronx County,976,0.04472345690326719,597,5,361,0,1,0
434,G36000500070001,Bronx County,2663,0.023171230433231528,1408,51,544,20,453,1
435,G36000500070002,Bronx County,974,0.030088659602730838,496,13,194,9,211,0
436,G36000500070003,Bronx County,1384,0.02403069817512545,712,41,146,4,387,0
437,G36000500071001,Bronx County,851,0.01586502609992543,534,27,248,1,14,0
438,G36000500071002,Bronx County,1938,0.00920131800096856,1050,39,755,2,47,0
439,G36000500072001,Bronx County,2021,0.028045294329882602,815,93,202,5,828,0
440,G36000500072002,Bronx County,2263,0.03439261994863144,655,117,165,8,1205,2
441,G36000500072003,Bronx County,1044,0.020482636845203062,522,61,248,5,173,0
442,G36000500072004,Bronx County,963,0.03976217019695281,506,38,70,7,329,0
443,G36000500073001,Bronx County,1521,0.0295167863380555,983,27,439,1,10,5
444,G36000500073002,Bronx County,1181,0.04508321881203237,892,17,243,3,0,0
445,G36000500073003,Bronx County,1503,0.02407303595739569,929,36,483,0,9,0
446,G36000500074001,Bronx County,1189,0.018989060129361975,687,26,372,1,55,0
447,G36000500074002,Bronx County,1261,0.019963587429747486,863,22,282,0,62,0
448,G36000500074003,Bronx County,1086,0.01769248313837933,497,9,540,0,15,0
449,G36000500075001,Bronx County,1756,0.030196206558561037,1082,127,429,12,52,2
450,G36000500075002,Bronx County,3166,0.0290293594469201,1994,31,1042,4,15,0
451,G36000500075003,Bronx County,985,0.027382408539975537,640,13,311,0,4,0
452,G36000500075004,Bronx County,842,0.03445876816042562,502,28,298,2,1,0
453,G36000500076001,Bronx County,620,0.037268574176484735,435,11,138,16,7,0
454,G36000500076002,Bronx County,1162,0.028855227216290042,669,53,224,10,154,0
455,G36000500076003,Bronx County,897,0.03293193332843821,606,19,182,8,51,0
456,G36000500076004,Bronx County,1697,0.025178041543026705,1124,59,245,6,178,0
457,G36000500076005,Bronx County,1306,0.019886406894766496,754,28,157,14,307,0
458,G36000500077001,Bronx County,1974,0.017497518082541484,1445,61,410,0,14,0
459,G36000500078001,Bronx County,1714,0.017187609678810306,822,60,225,9,493,3
460,G36000500078002,Bronx County,2969,0.020748018840235364,1584,95,498,13,617,0
461,G36000500078003,Bronx County,1228,0.034366953990820556,951,46,93,8,89,1
462,G36000500078004,Bronx County,1126,0.03378743323531177,612,29,179,0,282,1
463,G36000500079001,Bronx County,1534,0.02952952952952953,1074,28,389,0,12,0
464,G36000500079002,Bronx County,804,0.034956521739130435,621,13,156,0,4,0
465,G36000500079003,Bronx County,1078,0.04052326892714833,802,21,208,0,14,0
466,G36000500079004,Bronx County,1608,0.0311229822320288,1172,26,336,3,27,0
467,G36000500079005,Bronx County,852,0.06832945705349266,561,10,259,0,4,0
468,G36000500079006,Bronx County,950,0.029459191267675516,659,3,274,0,6,0
469,G36000500083001,Bronx County,1077,0.029756313201083052,871,9,152,5,17,1
470,G36000500083002,Bronx County,685,0.02459693346260189,524,5,140,0,1,1
471,G36000500083003,Bronx County,1269,0.03639440174371917,988,21,226,1,11,0
472,G36000500083004,Bronx County,1255,0.030283287486125188,1104,10,111,2,12,1
473,G36000500083005,Bronx County,911,0.04649619762159955,663,10,221,1,5,1
474,G36000500083006,Bronx County,925,0.017134071796391658,699,17,198,0,2,0
475,G36000500084001,Bronx County,845,0.020784651334399214,384,15,319,0,103,0
476,G36000500084002,Bronx County,1742,0.014999913892572374,1055,18,511,6,103,1
477,G36000500085001,Bronx County,984,0.01994648504013622,766,16,173,1,6,0
478,G36000500085002,Bronx County,1911,0.03518041237113402,1305,49,482,3,25,0
479,G36000500085003,Bronx County,1051,0.02317377020263268,628,46,320,0,17,0
480,G36000500085004,Bronx County,906,0.058667357378747655,732,20,125,3,11,0
481,G36000500085005,Bronx County,1042,0.060553231055323106,857,10,145,3,0,0
482,G36000500086001,Bronx County,959,0.015177893137503165,642,9,141,1,75,2
483,G36000500086002,Bronx County,1602,0.02665779182960313,929,15,618,0,9,0
484,G36000500086003,Bronx County,1584,0.024604296432066356,886,11,642,0,22,0
485,G36000500087001,Bronx County,1204,0.011108240764660295,784,10,372,0,7,1
486,G36000500087002,Bronx County,1488,0.03811670679850402,1232,33,195,0,2,0
487,G36000500087003,Bronx County,860,0.03192753192753193,653,7,173,4,2,0
488,G36000500087004,Bronx County,975,0.05323214675693383,700,5,250,0,0,1
489,G36000500087005,Bronx County,1449,0.06934341500765696,965,29,407,0,4,0
490,G36000500089001,Bronx County,1706,0.02816389870241358,1310,46,312,0,9,0
491,G36000500089002,Bronx County,1412,0.028400748235010157,1061,42,273,3,19,0
492,G36000500090000,Bronx County,0,,0,0,0,0,0,0
493,G36000500090001,Bronx County,236,0.0005908582215668259,166,5,35,4,7,0
494,G36000500090002,Bronx County,546,0.0012477604299974405,285,21,199,9,8,0
495,G36000500090003,Bronx County,734,0.017455825346619422,458,10,245,3,0,0
496,G36000500090004,Bronx County,886,0.010370821237943627,597,13,156,0,70,0
497,G36000500090005,Bronx County,1509,0.025069360224610836,982,11,506,0,1,0
498,G36000500092001,Bronx County,1385,0.018380889183808893,680,35,301,5,311,1
499,G36000500092002,Bronx County,866,0.02036880233323925,258,68,95,1,375,0
500,G36000500092003,Bronx County,1955,0.019945723147241266,1132,140,212,14,323,0
501,G36000500092004,Bronx County,1041,0.023007558679220264,401,81,82,8,389,0
502,G36000500092005,Bronx County,1024,0.020751008166656534,560,61,140,0,183,0
503,G36000500093011,Bronx County,1108,0.01552647067066506,784,20,267,0,8,0
504,G36000500093012,Bronx County,1414,0.02265771467944301,984,16,392,0,10,0
505,G36000500093013,Bronx County,1626,0.01552163578567542,1292,21,280,2,0,0
506,G36000500093014,Bronx County,1128,0.01049048602198538,775,15,307,1,7,0
507,G36000500093015,Bronx County,135,0.0015137074620171554,102,9,14,0,3,0
508,G36000500093016,Bronx County,140,0.001032974005946979,94,4,21,0,5,0
509,G36000500093020,Bronx County,0,,0,0,0,0,0,0
510,G36000500093021,Bronx County,503,0.000577990844073468,192,31,260,2,14,0
511,G36000500093022,Bronx County,9,1.0076401515490787e-05,3,1,3,0,0,0
512,G36000500096001,Bronx County,2077,0.011915552750846194,1034,148,278,27,496,2
513,G36000500096002,Bronx County,869,0.0016422812779934308,417,43,114,9,194,2
514,G36000500098001,Bronx County,1296,0.012056935528886408,795,44,193,13,141,1
515,G36000500098002,Bronx County,1041,0.012079789270919154,654,37,135,6,139,1
516,G36000500098003,Bronx County,1127,0.0064817797000092025,776,45,106,18,101,0
517,G36000500098004,Bronx County,847,0.013038391675133154,517,16,150,3,121,0
518,G36000500098005,Bronx County,1592,0.018740656158400922,896,29,601,7,5,0
519,G36000500110000,Bronx County,0,,0,0,0,0,0,0
520,G36000500110001,Bronx County,0,0.0,0,0,0,0,0,0
521,G36000500115021,Bronx County,1935,0.009431846984733568,1355,19,510,0,7,1
522,G36000500115022,Bronx County,1467,0.03403712296983759,1044,22,356,0,17,3
523,G36000500115023,Bronx County,994,0.011290450822930747,656,3,320,1,4,0
524,G36000500117011,Bronx County,1548,0.017985987660775908,1061,15,437,0,3,0
525,G36000500117012,Bronx County,6,4.424028372768631e-05,2,0,0,0,2,0
526,G36000500117020,Bronx County,0,,0,0,0,0,0,0
527,G36000500117021,Bronx County,0,0.0,0,0,0,0,0,0
528,G36000500118000,Bronx County,0,,0,0,0,0,0,0
529,G36000500118001,Bronx County,2640,0.004631115835784842,639,1761,75,2,93,0
530,G36000500118002,Bronx County,1226,0.005489585012447835,222,930,17,2,16,3
531,G36000500118003,Bronx County,1458,0.007427898943893381,650,647,56,4,68,2
532,G36000500119001,Bronx County,2099,0.03711890783051567,1332,49,685,1,6,0
533,G36000500119002,Bronx County,1044,0.02514027018566234,833,19,154,6,8,0
534,G36000500119003,Bronx County,746,0.04361807869964334,471,16,228,9,4,0
535,G36000500119004,Bronx County,853,0.04742313893367432,721,20,90,2,4,0
536,G36000500119005,Bronx County,961,0.02840338121416327,651,21,272,0,3,0
537,G36000500121011,Bronx County,1462,0.030335097001763667,913,16,473,0,12,0
538,G36000500121012,Bronx County,1857,0.02754375556214773,1321,37,436,0,14,0
539,G36000500121021,Bronx County,1616,0.03255242430957033,1225,20,332,7,5,3
540,G36000500123001,Bronx County,1992,0.03332385365608846,1045,19,856,0,21,0
541,G36000500123002,Bronx County,1534,0.03140739527455878,1034,34,410,2,10,1
542,G36000500123003,Bronx County,1193,0.0359532276535471,1015,5,145,1,5,0
543,G36000500123004,Bronx County,0,0.0,0,0,0,0,0,0
544,G36000500123005,Bronx County,18,0.00043074566861299896,13,2,0,0,0,0
545,G36000500123006,Bronx County,29,0.0002614331948037899,19,1,2,0,1,0
546,G36000500125001,Bronx County,2555,0.025348731075262417,1669,54,754,0,15,0
547,G36000500125002,Bronx County,1584,0.023007872643290822,939,21,562,0,8,0
548,G36000500127011,Bronx County,1218,0.029787234042553193,906,16,263,0,12,0
549,G36000500127012,Bronx County,966,0.014241905997523147,661,18,229,2,33,1
550,G36000500129011,Bronx County,1802,0.0226421732465509,1278,32,413,6,11,0
551,G36000500129012,Bronx County,3121,0.0406438422169842,1766,54,1224,0,13,0
552,G36000500130001,Bronx County,1198,0.010314781650365064,670,349,116,0,46,0
553,G36000500131001,Bronx County,1444,0.022229748452846455,833,43,481,12,29,0
554,G36000500131002,Bronx County,1239,0.017555294217662977,779,11,405,3,20,0
555,G36000500131003,Bronx County,1704,0.030962677617472834,1089,35,550,5,5,0
556,G36000500131004,Bronx County,1003,0.024827961780286154,703,16,251,2,3,1
557,G36000500132000,Bronx County,0,,0,0,0,0,0,0
558,G36000500132001,Bronx County,1145,0.015391026158023496,708,128,219,0,73,1
559,G36000500132002,Bronx County,1042,0.009583988668451018,541,260,155,1,50,0
560,G36000500132003,Bronx County,1452,0.008449278145348533,723,511,95,1,83,0
561,G36000500132004,Bronx County,1447,0.011247920650467173,906,303,116,4,88,0
562,G36000500132005,Bronx County,1566,0.012979047871635062,886,371,171,2,88,0
563,G36000500133001,Bronx County,2070,0.0397473069759404,1360,33,649,0,0,0
564,G36000500133002,Bronx County,1678,0.02561089149712297,891,31,663,0,28,1
565,G36000500133003,Bronx County,958,0.05184263217706586,622,2,304,2,4,0
566,G36000500133004,Bronx County,1358,0.054118678515920775,739,3,578,4,0,0
567,G36000500135001,Bronx County,781,0.015127743235128905,358,9,383,7,3,0
568,G36000500135002,Bronx County,1751,0.028510950093625337,1013,21,689,1,2,0
569,G36000500135003,Bronx County,1469,0.027024043856583087,691,20,709,5,8,0
570,G36000500138000,Bronx County,0,,0,0,0,0,0,0
571,G36000500138001,Bronx County,1862,0.0030572152414165645,401,1310,33,2,33,1
572,G36000500138002,Bronx County,1198,0.0076646001676231425,628,343,107,0,80,0
573,G36000500141001,Bronx County,2048,0.036615236086031504,1029,55,903,6,6,1
574,G36000500141002,Bronx County,2381,0.050453466689269366,1225,5,1059,6,9,0
575,G36000500141003,Bronx County,2915,0.039370610480821175,1592,89,1100,5,38,3
576,G36000500143001,Bronx County,1898,0.014632529238075414,936,63,844,1,9,0
577,G36000500144001,Bronx County,298,0.010457241113099624,245,10,39,0,0,0
578,G36000500144002,Bronx County,886,0.012944511001373345,595,20,252,0,3,0
579,G36000500144003,Bronx County,661,0.013577913807978308,422,7,218,5,4,1
580,G36000500144004,Bronx County,1071,0.02206973293768546,636,17,400,0,6,0
581,G36000500144005,Bronx County,2026,0.0193998123216577,1277,72,581,1,54,0
582,G36000500144006,Bronx County,1104,0.010753316579977792,752,95,151,3,56,0
583,G36000500145001,Bronx County,2507,0.05303911820085895,1248,49,1130,4,2,2
584,G36000500145002,Bronx County,1694,0.058191061797945795,922,7,736,5,3,0
585,G36000500145003,Bronx County,1163,0.029861093280612115,568,16,560,4,0,1
586,G36000500145004,Bronx County,1691,0.02539878037790261,903,44,681,0,6,1
587,G36000500147011,Bronx County,2301,0.05580075662042875,1154,8,1075,0,2,0
588,G36000500147012,Bronx County,2375,0.03504655658358788,1200,29,1102,0,3,1
589,G36000500147013,Bronx County,1685,0.057196198234894774,933,4,707,3,1,1
590,G36000500147021,Bronx County,943,0.04918631337366994,584,7,332,0,3,0
591,G36000500147022,Bronx County,1681,0.029079020204815943,844,12,773,0,2,1
592,G36000500147023,Bronx County,826,0.06274688544515344,561,8,236,2,0,0
593,G36000500147024,Bronx County,1631,0.062342328568152285,942,9,644,3,1,0
594,G36000500149001,Bronx County,1731,0.024585274400636292,1011,22,641,7,2,2
595,G36000500149002,Bronx County,1343,0.040082373306273504,796,22,479,0,3,0
596,G36000500149003,Bronx County,1649,0.031664650421491254,1043,60,497,7,7,0
597,G36000500151001,Bronx County,969,0.028627983928149373,457,13,468,0,0,0
598,G36000500151002,Bronx County,1689,0.030612244897959183,882,8,768,0,4,0
599,G36000500151003,Bronx County,1854,0.031310163137095955,1017,63,733,5,10,0
600,G36000500151004,Bronx County,1445,0.02380677792971646,808,39,543,1,4,0
601,G36000500152001,Bronx County,1007,0.008403711987181628,636,234,78,0,25,0
602,G36000500152002,Bronx County,1586,0.00964239248063618,902,430,129,0,63,0
603,G36000500153001,Bronx County,2011,0.013396217616925464,973,31,919,7,40,1
604,G36000500153002,Bronx County,835,0.03354356646446792,420,30,357,2,4,0
605,G36000500153003,Bronx County,1412,0.022838288098858087,684,11,643,1,33,0
606,G36000500155001,Bronx County,1899,0.06004363360419895,1538,21,311,1,0,0
607,G36000500155002,Bronx County,992,0.01190104853996209,650,12,268,3,25,0
608,G36000500157001,Bronx County,0,0.0,0,0,0,0,0,0
609,G36000500157002,Bronx County,1982,0.02805775764439411,1123,35,749,6,19,0
610,G36000500157003,Bronx County,1984,0.03111668757841907,1127,26,761,21,17,0
611,G36000500157004,Bronx County,1576,0.02378580699689094,943,17,577,2,9,0
612,G36000500158001,Bronx County,1442,0.008891574585635359,775,513,72,0,40,1
613,G36000500159001,Bronx County,1970,0.030959265778224793,1615,15,296,1,10,2
614,G36000500159002,Bronx County,511,0.01278490830393555,439,8,45,1,6,0
615,G36000500160000,Bronx County,0,,0,0,0,0,0,0
616,G36000500160001,Bronx County,1586,0.008675911490385931,616,756,63,9,96,0
617,G36000500160002,Bronx County,900,0.006199585316626599,326,435,41,5,45,0
618,G36000500160003,Bronx County,861,0.008288489492582717,324,445,16,0,57,0
619,G36000500160004,Bronx County,656,0.010471872805057148,247,311,45,0,21,0
620,G36000500161001,Bronx County,1804,0.01308441040370193,925,58,739,8,7,0
621,G36000500161002,Bronx County,1034,0.02015830311537412,677,16,308,1,9,0
622,G36000500161003,Bronx County,1116,0.06926084528020852,752,26,318,0,4,0
623,G36000500161004,Bronx County,1289,0.0380865145963834,968,16,285,3,1,0
624,G36000500162001,Bronx County,1007,0.011666570121068181,437,403,70,0,43,0
625,G36000500162002,Bronx County,901,0.009551473004632624,478,305,26,2,71,0
626,G36000500163001,Bronx County,34,5.8018398658068565e-05,18,5,10,0,0,0
627,G36000500164001,Bronx County,1221,0.00741897458955632,559,523,42,0,65,0
628,G36000500165001,Bronx County,1097,0.005572997632619055,520,17,517,1,14,0
629,G36000500166001,Bronx County,1685,0.010953009314933145,983,360,144,0,124,2
630,G36000500166002,Bronx County,940,0.007129313613955252,558,196,90,0,72,0
631,G36000500167001,Bronx County,933,0.02838972736124635,345,17,564,1,1,0
632,G36000500167002,Bronx County,2440,0.014106247795898781,1232,48,1047,4,15,5
633,G36000500169001,Bronx County,1586,0.01706954818434251,674,20,834,0,16,3
634,G36000500171001,Bronx County,10,5.727770522601782e-05,1,0,7,0,0,0
635,G36000500173001,Bronx County,1250,0.02557178511517532,808,15,394,2,0,0
636,G36000500173002,Bronx County,971,0.037181696343097835,511,30,379,0,23,0
637,G36000500173003,Bronx County,1933,0.04378751840525541,1199,44,615,0,15,0
638,G36000500173004,Bronx County,2241,0.0485790466280809,1415,9,761,0,23,0
639,G36000500175001,Bronx County,1440,0.05917646091887893,750,29,612,3,9,0
640,G36000500175002,Bronx County,1020,0.04304887313243859,625,11,359,1,0,0
641,G36000500175003,Bronx County,1255,0.03308377708651869,784,17,435,1,0,0
642,G36000500175004,Bronx County,1637,0.04029240917593778,965,54,538,6,16,0
643,G36000500175005,Bronx County,756,0.06408952187182096,464,10,270,0,1,0
644,G36000500175006,Bronx County,880,0.06663133186946317,457,20,380,0,2,0
645,G36000500177011,Bronx County,1734,0.03762204382729442,1157,30,470,1,29,0
