,GISJOIN,COUNTY,Population,Population_density,Hispanic,White,Black,Native,Asian,Pacific
9019,G36006100243012,New York County,1922,0.036776946480166856,739,457,587,3,45,2
9020,G36006100243013,New York County,699,0.03183785014803006,467,100,98,0,19,0
9021,G36006100243020,New York County,0,,0,0,0,0,0,0
9022,G36006100243021,New York County,2495,0.0239873861921106,1208,42,1114,1,65,1
9023,G36006100243022,New York County,2394,0.052923621089864044,1141,22,1111,5,48,1
9024,G36006100243023,New York County,2348,0.03668176847367599,1087,17,1102,5,64,0
9025,G36006100245001,New York County,1856,0.0677396985291434,1537,154,103,4,25,0
9026,G36006100245002,New York County,1928,0.05999315430811837,1180,353,165,2,174,0
9027,G36006100245003,New York County,1414,0.06510428656936323,1066,203,66,4,36,0
9028,G36006100245004,New York County,2336,0.05750153846153846,1738,286,146,5,94,0
9029,G36006100245005,New York County,2671,0.06455745153961424,1915,304,317,3,45,0
9030,G36006100245006,New York County,1559,0.05788008167811398,1106,147,235,0,47,3
9031,G36006100245007,New York County,1621,0.07408253736118094,1099,231,217,0,38,0
9032,G36006100247000,New York County,0,,0,0,0,0,0,0
9033,G36006100247001,New York County,1315,0.00998193383837617,483,430,250,1,60,0
9034,G36006100247002,New York County,1389,0.05334306232958255,882,268,152,0,48,0
9035,G36006100247003,New York County,1287,0.0716273374888691,962,200,66,0,33,0
9036,G36006100247004,New York County,1358,0.0842013888888889,1141,116,58,4,7,1
9037,G36006100247005,New York County,1172,0.018177588212485458,761,227,86,2,56,0
9038,G36006100249001,New York County,1084,0.017870390214147942,627,158,173,1,78,0
9039,G36006100251001,New York County,1140,0.009386656127263296,759,122,154,2,62,0
9040,G36006100251002,New York County,1147,0.030205672451478684,881,118,84,0,41,0
9041,G36006100253001,New York County,1717,0.07828029543174979,1495,85,95,0,18,0
9042,G36006100253002,New York County,1626,0.07718965107999051,1396,141,55,0,9,2
9043,G36006100253003,New York County,1737,0.079296964163433,1428,201,58,0,10,0
9044,G36006100253004,New York County,1346,0.0316668627220327,892,264,53,0,69,0
9045,G36006100253005,New York County,1831,0.06923542312637072,1176,444,86,0,101,0
9046,G36006100253006,New York County,1824,0.051396207275493815,954,449,185,0,161,2
9047,G36006100255000,New York County,0,,0,0,0,0,0,0
9048,G36006100255001,New York County,2044,0.005992834399573113,498,718,149,4,581,1
9049,G36006100255002,New York County,1146,0.021189652940850175,528,447,55,1,69,2
9050,G36006100255003,New York County,1624,0.06818945246892845,966,390,65,0,133,0
9051,G36006100255004,New York County,883,0.0394495822722602,378,250,101,0,113,0
9052,G36006100257001,New York County,1009,0.01785398308383763,198,306,376,1,51,0
9053,G36006100257002,New York County,1462,0.03343013285162234,216,451,622,0,72,0
9054,G36006100257003,New York County,1799,0.0410589980600251,341,591,579,2,128,0
9055,G36006100259001,New York County,2248,0.05848074921956296,597,444,956,0,140,2
9056,G36006100259002,New York County,1781,0.04810263335584065,579,267,721,0,75,0
9057,G36006100261001,New York County,2262,0.06741372116588186,1931,129,133,0,28,0
9058,G36006100261002,New York County,1432,0.06732803610889088,1330,39,36,1,6,0
9059,G36006100261003,New York County,1383,0.061270600744284955,1100,75,165,0,16,0
9060,G36006100261004,New York County,1525,0.06997017664601973,1290,101,90,0,8,1
9061,G36006100261005,New York County,1569,0.07096015557867125,1301,78,145,2,12,0
9062,G36006100261006,New York County,906,0.07611526505922876,820,35,39,2,4,0
9063,G36006100261007,New York County,1656,0.07194369623772699,1409,102,71,0,17,1
9064,G36006100263001,New York County,2089,0.05734757185604085,1632,161,219,2,28,0
9065,G36006100263002,New York County,1403,0.0743468814583223,1190,116,46,0,15,0
9066,G36006100263003,New York County,1487,0.05027385218743661,1217,146,66,4,28,2
9067,G36006100263004,New York County,1679,0.03659706177252714,1152,318,66,5,81,4
9068,G36006100263005,New York County,1311,0.04955772283964618,1033,185,32,3,27,0
9069,G36006100265001,New York County,1019,0.06252300895815438,528,385,41,1,34,0
9070,G36006100265002,New York County,1793,0.021768162393162392,1182,429,61,3,77,0
9071,G36006100265003,New York County,975,0.021492339909621957,324,468,53,0,70,0
9072,G36006100265004,New York County,2091,0.060112117291936176,1408,456,97,2,58,0
9073,G36006100265005,New York County,972,0.05992232291474015,432,373,64,0,49,0
9074,G36006100267001,New York County,2083,0.04400177443545491,835,1135,36,0,27,0
9075,G36006100269001,New York County,1328,0.05721671693235674,1098,153,37,0,8,1
9076,G36006100269002,New York County,1483,0.045634981690617596,1178,203,72,2,6,0
9077,G36006100269003,New York County,778,0.02317407363278923,607,37,110,0,8,0
9078,G36006100269004,New York County,1079,0.03362418198815831,796,113,103,0,41,0
9079,G36006100269005,New York County,1729,0.05416327297788359,1456,153,77,0,14,0
9080,G36006100269006,New York County,1451,0.06513151988508843,1221,118,55,0,43,0
9081,G36006100271001,New York County,1613,0.05438484102633265,1283,201,47,0,38,0
9082,G36006100271002,New York County,1554,0.041635408852213056,1307,146,41,0,15,1
9083,G36006100271003,New York County,1823,0.03132087141777198,1330,359,38,0,49,0
9084,G36006100271004,New York County,1188,0.029157667386609073,594,483,33,0,27,0
9085,G36006100271005,New York County,1445,0.053562161761435245,431,831,56,0,68,0
9086,G36006100273001,New York County,1735,0.028063989130258964,351,1117,45,1,99,1
9087,G36006100273002,New York County,1160,0.04135324943852269,283,708,50,0,66,0
9088,G36006100273003,New York County,2329,0.03946253685316344,622,1401,83,3,105,1
9089,G36006100273004,New York County,1295,0.046197203196347035,315,803,51,0,45,2
9090,G36006100275000,New York County,0,,0,0,0,0,0,0
9091,G36006100275001,New York County,1195,0.005189515008337965,150,847,35,0,69,0
9092,G36006100275002,New York County,1868,0.0377847000283183,330,1228,82,0,140,0
9093,G36006100277001,New York County,1846,0.017849890734688352,1218,350,172,0,57,0
9094,G36006100277002,New York County,1470,0.07061875480399693,1228,147,53,0,11,0
9095,G36006100277003,New York County,1666,0.07678480895976403,1477,100,53,3,8,0
9096,G36006100277004,New York County,1441,0.08314580808955052,1311,61,28,0,13,0
9097,G36006100279001,New York County,903,0.03980779403985188,346,436,45,0,40,0
9098,G36006100279002,New York County,1501,0.06815601870771466,1286,105,49,0,25,0
9099,G36006100279003,New York County,1792,0.0642754662840746,1525,145,54,0,19,3
9100,G36006100279004,New York County,1645,0.03400797998800934,1135,350,90,2,25,0
9101,G36006100279005,New York County,1535,0.05438826489033767,557,751,67,1,83,5
9102,G36006100279006,New York County,1765,0.08310184095296388,1451,204,62,0,6,0
9103,G36006100279007,New York County,878,0.09152507036380694,758,75,14,0,8,0
9104,G36006100281001,New York County,844,0.04690973766118275,134,598,29,0,44,0
9105,G36006100281002,New York County,2264,0.02969686635098443,386,1509,123,2,107,0
9106,G36006100283001,New York County,726,0.04976352046062102,443,171,49,0,26,0
9107,G36006100283002,New York County,3286,0.04253831814415907,2055,673,255,4,205,0
9108,G36006100283003,New York County,1470,0.07120713040108506,931,348,99,6,40,2
9109,G36006100283004,New York County,2258,0.058479229255153836,1782,274,106,2,44,0
9110,G36006100285001,New York County,2157,0.05372755124915934,1825,157,82,1,42,0
9111,G36006100285002,New York County,1747,0.09203455905594773,1486,141,80,3,12,0
9112,G36006100285003,New York County,1198,0.031608664679032214,868,193,45,2,53,0
9113,G36006100285004,New York County,1692,0.06792452830188679,1360,185,87,5,28,0
9114,G36006100287000,New York County,0,,0,0,0,0,0,0
9115,G36006100287001,New York County,665,0.0014317702277914137,211,317,63,4,27,0
9116,G36006100287002,New York County,1398,0.04607778510217535,827,451,46,3,24,0
9117,G36006100287003,New York County,1709,0.04549084327086882,1171,381,64,1,38,0
9118,G36006100291001,New York County,1741,0.08282193996479711,1493,155,58,2,20,0
9119,G36006100291002,New York County,973,0.04633553978760893,779,123,29,3,11,0
9120,G36006100291003,New York County,1596,0.07305685251304586,1294,86,178,3,12,0
9121,G36006100291004,New York County,1642,0.032492975026714686,1383,120,74,2,20,2
9122,G36006100291005,New York County,1518,0.05907764156450671,1352,68,53,0,16,0
9123,G36006100291006,New York County,1857,0.0719126360221508,1695,74,37,0,11,0
9124,G36006100291007,New York County,1182,0.05482629064427849,889,170,53,4,27,0
9125,G36006100293001,New York County,1839,0.04400574300071788,1578,126,64,4,26,0
9126,G36006100293002,New York County,1298,0.058618976651763535,1171,52,48,0,4,0
9127,G36006100293003,New York County,1708,0.04104486578713383,1453,105,61,0,31,0
9128,G36006100293004,New York County,1774,0.05927361422032143,1429,216,68,0,28,0
9129,G36006100293005,New York County,1416,0.06555252071663349,1207,105,54,0,14,0
9130,G36006100295001,New York County,1961,0.0539596059655495,879,832,90,3,64,0
9131,G36006100295002,New York County,1266,0.041194845763373684,713,371,95,0,54,0
9132,G36006100295003,New York County,1983,0.0629583769882846,1224,491,135,0,57,0
9133,G36006100295004,New York County,1829,0.049440449802670705,946,668,70,2,67,1
9134,G36006100297000,New York County,0,,0,0,0,0,0,0
9135,G36006100297001,New York County,16,1.687553658932749e-05,6,0,5,0,0,0
9136,G36006100299000,New York County,0,,0,0,0,0,0,0
9137,G36006100299001,New York County,2654,0.034982271606891005,1832,37,705,0,22,0
9138,G36006100299002,New York County,8,2.360654963719684e-05,3,3,2,0,0,0
9139,G36006100299003,New York County,936,0.004649845750309245,812,38,56,3,3,0
9140,G36006100303001,New York County,1366,0.028566648542389893,1020,221,63,0,35,0
9141,G36006100303002,New York County,935,0.011969072428889628,390,411,40,1,30,3
9142,G36006100303003,New York County,1390,0.04525623494172039,463,699,73,0,68,1
9143,G36006100307001,New York County,734,0.025390016949738834,307,318,35,0,28,0
9144,G36006100307002,New York County,1028,0.04203983151351572,184,610,102,2,63,0
9145,G36006100307003,New York County,1665,0.05368889462143686,455,968,88,0,64,0
9146,G36006100309001,New York County,0,0.0,0,0,0,0,0,0
9147,G36006100309002,New York County,2193,0.04069929291242136,1498,243,376,7,22,0
9148,G36006100309003,New York County,2362,0.055818130258058415,1450,32,781,2,25,0
9149,G36006100309004,New York County,2137,0.04373452305425373,1772,143,116,4,52,1
9150,G36006100309005,New York County,1902,0.016231161782526326,1288,129,385,5,31,0
9151,G36006100311000,New York County,0,,0,0,0,0,0,0
9152,G36006100311001,New York County,12,1.6420967933954866e-05,8,0,2,1,0,0
9153,G36006100317030,New York County,0,,0,0,0,0,0,0
9154,G36006100317031,New York County,753,0.005450084320693673,91,476,21,0,104,0
9155,G36006100317032,New York County,2145,0.11473656057769457,154,1391,39,0,409,2
9156,G36006100317033,New York County,2949,0.03233871763660887,204,1973,47,0,516,0
9157,G36006100317040,New York County,0,,0,0,0,0,0,0
9158,G36006100317041,New York County,3125,0.0542911744266852,207,2199,54,0,485,2
9159,G36006100317042,New York County,1888,0.06907401309772071,114,1165,16,0,478,1
9160,G36006100317043,New York County,3884,0.048772524643686824,320,2115,48,3,1122,1
9161,G36006100317044,New York County,1525,0.02520036354622821,191,870,43,2,350,1
9162,G36006100319000,New York County,0,,0,0,0,0,0,0
9163,G36006100319001,New York County,3,3.022456854428403e-05,2,0,0,0,0,0
10572,G36008100001011,Queens County,2948,0.011651344963599427,430,1421,134,1,764,0
10573,G36008100001012,Queens County,1711,0.04264068185216568,241,871,42,0,460,0
10574,G36008100001021,Queens County,3349,0.06523051752011064,332,1855,109,0,873,0
10575,G36008100001022,Queens County,4135,0.07477936921296297,398,2301,126,1,959,1
10576,G36008100001031,Queens County,33,0.00017874649954771718,0,9,2,0,18,1
10577,G36008100001041,Queens County,27,4.860083593437807e-05,13,1,7,0,1,0
