School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of,data_year
P.S. 102 - MANHATTAN,M,4,DEFECTIVE CONCRETE BEAM FIRE PROOFING,727000,CIP,M102,315 EAST 113 STREET,Manhattan,10029,MANHATTAN,40.794872,-73.938719,11,8,180,1081366,1016840101,East Harlem North                                                          ,"(40.794872, -73.938719)",,1900
CASCADES CTR FOR TCHING & LNG,M,1,ENY AUDITIORIUM UPGRADE,145747,CIP,M510,198 FORSYTH STREET,Manhattan,10002,MANHATTAN,40.72252,-73.990728,3,1,3601,1005626,1004220072,Chinatown                                                                  ,"(40.72252, -73.990728)",11/13/17,2017
IS/HS 336 - QUEENS,Q,78,Lease,19987000,CAP,Q336,124-06 14TH AVENUE,Queens,11356,QUEENS   ,40.785327,-73.843749,7,19,925,4098406,4040890045,College Point                                                              ,"(40.785327, -73.843749)",11/13/17,2017
P.S. 44 - STATEN ISLAND,R,31,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,9777000,CIP,R044,80 MAPLE PARKWAY,Staten Island,10303,STATEN IS,40.63179,-74.156439,1,49,231,5027641,5012180001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.63179, -74.156439)",,1900
P.S. 106 - BROOKLYN,K,32,FY 15 RESO A ROOM CONVERSION,375000,CIP,K106,1328 PUTNAM AVENUE,Brooklyn,11221,BROOKLYN ,40.693879,-73.913056,4,37,435,3077286,3033770001,Bushwick North                                                             ,"(40.693879, -73.913056)",,1900
P.S. 112 - BROOKLYN,K,20,TCU REMOVAL - PLAYGROUND REDEVELOPMENT,1578914,CIP,K112,7115 15 AVENUE,Brooklyn,11228,BROOKLYN ,40.61978,-74.000792,11,43,190,3157760,3061800001,Bensonhurst West                                                           ,"(40.61978, -74.000792)",11/13/17,2017
CHELSEA VOC HS - MANHATTAN,M,2,LOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,2314098,CIP,M615,131 AVE OF THE AMERICAS,Manhattan,10013,MANHATTAN,40.7244,-74.004625,2,3,37,1007378,1004910016,SoHo-TriBeCa-Civic Center-Little Italy                                     ,"(40.7244, -74.004625)",,1900
P.S. 31 - BROOKLYN,K,14,EXTERIOR MASONRY/PARAPETS,3879237,CIP,K031,75 MESEROLE AVENUE,Brooklyn,11222,BROOKLYN ,40.726587,-73.95427,1,33,561,3065299,3025950001,Greenpoint                                                                 ,"(40.726587, -73.95427)",11/13/17,2017
SCHOOL FOR CLASSICS HS - BROOKLYN,K,19,FY19 RESO A AUDITORIUM UPGRADE,44500,CIP,K218,370 FOUNTAIN AVENUE,Brooklyn,10301,K,,,,,,,,,,1/6/22,2022
CURTIS HS - STATEN ISLAND,R,31,BRIDGE & REPAIR WK/PARAPETS/WASTE SYS/WINDOWS/ROOF,12443000,CIP,R450,105 HAMILTON AVENUE,Staten Island,10301,STATEN IS,40.644735,-74.081222,1,49,7,5106483,5000220001,West New Brighton-New Brighton-St. George                                  ,"(40.644735, -74.081222)",11/13/17,2017
P.S. 333 - QUEENS,Q,27,REINF SLAB/HEATING PLT/ELEC/FLOOD ELIM/CLIM CTRL,12990000,CIP,Q198,3-65 BEACH 56 STREET,Queens,11692,QUEENS   ,40.593967,-73.786182,14,31,97204,4301929,4158940011,Hammels-Arverne-Edgemere                                                   ,"(40.593967, -73.786182)",11/13/17,2017
P.S. 130 - BROOKLYN,K,15,WATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,12025000,CIP,K130,70 OCEAN PARKWAY,Brooklyn,11218,BROOKLYN ,40.648884,-73.975607,7,39,500,3124019,3053190001,Windsor Terrace                                                            ,"(40.648884, -73.975607)",11/13/17,2017
WILLIAM C. BRYANT HS - QUEENS,Q,30,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,2499000,CIP,Q445,48-10 31 AVENUE,Queens,11103,QUEENS   ,40.75823,-73.910514,1,26,163,4013655,4007380002,Astoria                                                                    ,"(40.75823, -73.910514)",,1900
P.S. 19 - QUEENS,Q,24,Addition,95491911,CAP,Q019,98-02 ROOSEVELT AVENUE,Queens,11368,QUEENS   ,40.749381,-73.867354,4,21,409,4437176,4016070001,North Corona                                                               ,"(40.749381, -73.867354)",,1900
WIILIAMSBURG PREP- BROOKLYN,K,14,ROOFS/WINDOWS/PARAPETS/EXT MASONRY,11337000,CIP,K650,257 N 6TH STREET,Brooklyn,11211,BROOKLYN ,40.715073,-73.954754,1,33,519,3062135,3023300011,North Side-South Side                                                      ,"(40.715073, -73.954754)",,1900
P.S. 123 - MANHATTAN,M,5,FLOOD ELIMINATION,4815000,CIP,M123,301 WEST 140 STREET,Manhattan,10030,MANHATTAN,40.819767,-73.944433,10,9,22102,1060726,1020420035,Central Harlem North-Polo Grounds                                          ,"(40.819767, -73.944433)",,1900
THE FAMILY SCHOOL - BRONX,X,9,EXTERIOR MASONRY/ROOFS,4391000,CIP,X090,1116 SHERIDAN AVENUE,Bronx,10456,BRONX    ,40.831992,-73.91796,4,16,18102,2002745,2024560100,East Concourse-Concourse Village                                           ,"(40.831992, -73.91796)",11/13/17,2017
